title,matched_gif_title,similarity,description,category,body_part,target_muscle_gifsrc,equipment,difficulty_level,rating,gif_url,source_a_id,source_b_id
Weighted Crunch - Gethin Variation,Weighted Crunch,0.834,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Strength,Abdominals,abs,Other,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/05/Weighted-Crunch.gif,47db36a9-b09b-410c-be2b-6d5dd85e2d6f,6f91fb7a-e8f6-41bf-a49c-6b94a9fe805f
Standing cable low-to-high twist,Standing Cable Low-To-High Twist,1.0,"The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,abs,Cable,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/04/Standing-Cable-low-to-high-Twist.gif,7f9d9b1c-6be3-429d-ba99-8fbae1a5aace,8dbe5797-78aa-4b5c-a819-72692758b944
Kneeling cable crunch,Kneeling Cable Crunch,1.0,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,abs,Cable,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Kneeling-Cable-Crunch.gif,67e87e0f-58d1-4bf8-ad77-47ac4641bb8d,e26f0949-714c-4d8a-abc6-903cf985114f
Standing cable crunch,Standing Cable Crunch,1.0,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,abs,Cable,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/09/Standing-Cable-Crunch.gif,38863ecd-c790-49a3-8c05-bd0e3e03e379,dbfe1441-8491-453d-903f-83a9d418eaa5
Standing cable high-to-low twist,Standing Cable High-To-Low Twist,1.0,"The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,abs,Cable,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/06/Standing-Cable-High-To-Low-Twist.gif,2e3051ec-10df-445d-a74f-fda7885f7847,69c866d0-9b81-4208-92c8-b9c1666f7c25
Bent-Over Reverse Cable Fly,Bent Over Reverse Cable Fly,1.0,No description available,Strength,Abdominals,trapezius,Cable,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/04/bent-over-reverse-cable-fly.gif,b8f74b7e-1da4-428c-bdbe-c2154a89e810,7316fda3-56e8-41d4-8321-493fde82bb9f
Standing cable twist,Standing Cable Twist,1.0,"The standing cable twist is a core exercise that targets the abdominals, particularly the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,abs,Cable,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/06/standing-cable-twist.gif,64d84bb6-28e7-4d35-a782-1810a29d9f68,f4cba0c9-0337-4d46-8e3a-ab68ec431162
Ab Crunch Machine,Seated Ab Crunch Machine,0.8632,"The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down toward the chest against some pre-set level of resistance. On some machines, the knees also curl up torward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, like 8-12 reps per set or higher, as part of the ab-focused portion of a workout.",Strength,Abdominals,abs,Machine,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/10/Seated-Ab-Crunch-Machine.gif,4dd8194c-fc02-4f8d-a0f7-a2cc14b2c323,700fdcb8-bd83-435f-8aeb-fc1ffbf66da1
Machine crunch,Seated Crunch Machine,0.8444,"The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down against a pre-set level of resistance. On some machines, the knees also curl up toward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, such as 8-12 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,abs,Machine,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/09/Seated-Crunch-Machine.gif,24813be3-e19d-4116-8128-cf7e6b604b8d,658eea7e-081d-4307-9e7e-a82483949dc2
Elbow plank,Plank Knee to Elbow,0.8514,"The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/PLANK-KNEE-TO-ELBOW.gif,9eaf12aa-1541-4337-aba5-3f09bf894e87,ce1b89ae-3f58-4230-99b2-0c25b09427c7
Hanging leg raise,Hanging Knee Raises,0.8442,"The hanging leg raise is an exercise targeting the abs, but which also works the lats and hip flexors. Instead of resting your forearms on the pads of a captain's chair, you perform these hanging from a bar. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Hanging-Knee-Raises.gif,a803f4c6-fe0d-4d06-aea5-0b929775408a,bd53d65d-e484-4630-8a59-ed5d166016c1
Mountain climber,Mountain Climber,1.0,"The mountain climber is a popular bodyweight exercise targeting the muscles of the core, as well as the shoulders, hips, and cardiovascular system. It involves lifting one knee to the chest at a time from a straight-arm plank position. It can be performed for time or reps as part of a dynamic warm-up, for bodyweight cardio or conditioning, or as no-equipment dynamic core training.",Plyometrics,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Mountain-climber.gif,cd2c355f-96b8-4402-9ce3-155c9e2f7c54,90132da4-0e5f-4725-8e5b-2d7fb63e46a1
Reverse crunch,Reverse Crunch,1.0,"The reverse crunch is a popular exercise targeting the abdominals, particularly the lower half. It’s easy to perform on either the floor or a flat bench. Many lifters think of this as a companion to the crunch, which targets the upper abdominals more than the lower.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Reverse-Crunch-1.gif,a59816a6-2fba-4324-ab7e-38c710c29160,9f49a025-1ae3-4174-8d48-11cdbbecc17d
Crunches,Crunches,1.0,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2015/11/Crunch.gif,5cd7d5a4-5f50-412f-b413-abeaaf2f253a,fe439a4e-f76f-4b5a-9ccc-a5a19a23ff3c
Russian twist,Russian Twist,1.0,"The Russian twist is an exercise targeting the abdominals and the obliques. Beginning from a position that resembles stopping midway through a sit-up, it involves twisting side to side. It can be performed with body weight alone or while holding a weight plate or other object. It is performed by alternating sides with each rep and can be done for time or for a specific number of reps as part of the ab-focused portion of any workout.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Russian-Twist.gif,4d2a689c-d6b3-4a91-a408-f8e9c04949e8,27996618-c68f-4af1-80a4-98ce78236e68
Side Bridge,Side Bridge,1.0,"The side plank is a popular isometric abdominal exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It is sometimes paired with the curl up and bird dog as the “McGill big three” for core strength and stability. It is performed for time and can work in a warm-up or in the core-focused portion of any workout.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/05/Side-Bridge.gif,6d206ae7-d354-49ac-88e7-e59341ad8f1c,0ddea2d7-c223-450d-8bf1-e96160c09e2f
Side Jackknife,Jackknife Sit-ups (V-Up),0.8543,No description available,Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Jackknife-Sit-ups.gif,471befe7-1421-48f8-b176-0fd195300625,4cfb4787-36ef-4673-adde-ec134bafbcac
Scissor Kick,Lying Scissor Kick,0.9068,No description available,Stretching,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lying-Scissor-Kick.gif,98e1fea9-7a27-4afa-aae9-e784f10cc5bb,f53f2658-0e39-4b71-ab13-5fa5098ec9f5
Cross Crunch,Cross Crunch,1.0,No description available,Strength,Abdominals,abs,Body Only,Beginner,,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cross-Crunch.gif,79439254-4a5d-4fe8-81be-4facae743dc1,c5b18c8b-4d46-46c1-83f9-39305082cd9c
Crab toe-touch,Crab Twist Toe Touch,0.8669,"The crab toe-touch is a full-body exercise targeting the glutes, hamstrings, quads, and core. It is a challenging move that trains balance, core strength, and many muscle groups, making it work well in a time-efficient bodyweight circuit workout.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/05/Crab-Twist-Toe-Touch.gif,5e845b2b-a788-4d36-a5d3-9c7cd12de111,171e5dc5-ee22-44fc-bad9-66300e32c258
Bear crawl,Bear Crawl,1.0,"The bear crawl is a popular bodyweight crawling exercise. While it looks simple, the bear crawl is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bear-Crawl.gif,7670f59b-8293-464a-bf00-57fbb74994ef,97ed2308-7c16-4dc6-ace3-93c1970951b2
Shoulder tap,Shoulder Tap Push-up,0.8895,"The shoulder tap is an exercise targeting the abdominals and core. The basic stance matches the top of a push-up position. From there, one hand is raised to tap its opposing shoulder. A tap with each hand to each opposing shoulder equals one rep.",Strength,Abdominals,chest,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/08/Shoulder-Tap-Push-up.gif,3e999a63-417e-4e69-935f-a6583e018629,57045035-4b05-406f-9d5a-6621ab4d36c2
Double crunch,Double Crunches,0.8318,"The double crunch is a bodyweight exercise focused on the muscles of the core, the rectus abdominis or ""six-pack"" muscles in particular. It's a very simple exercise that involves ""crunching"" the knees and elbows toward each other using the abdominal muscles, while keeping the back flat against the ground.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Double-Crunches.gif,1f176fb6-c102-412f-8cfc-a8b119d290a1,7ed1337d-cde3-439f-93e5-9e72281f3066
Flutter kick,Flutter Kick,1.0,"The flutter kick is a core exercise where the legs are held off the ground as you flutter your feet over and under each other in small motions. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Flutter-Kicks.gif,33363579-f697-4960-9df8-7a37b62893ed,5d5abb08-0f7c-4ad2-9fa0-b58658670578
Spider plank jack,Spider Plank,0.8683,"The spider plank jack is a bodyweight core exercise that begins in a straight-arm plank, then combines a spider crunch and a plank jack into a single sequence. It can be performed as bodyweight core training or for conditioning in a fat-loss or athleticism-focused circuit.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/05/Spider-Plank.gif,0405749a-1c03-4e62-a6af-78dab4a54977,0e2f0a13-c581-41bf-a607-e386b467bc9e
Plank leg raise,Side Plank Leg Raises,0.8682,"The plank leg raise is an isometric abdominal exercise that targets the muscles of the core, the deep core or transversus abdominis in particular. It also targets the muscles of the glutes and hips. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Side-Plank-Leg-Raises.gif,346ad3f6-ab58-4271-bc36-87552dbc8129,b76574c0-d74a-4908-8b8e-eddca609f05a
TBS Toes-to-bar,Toes to Bar,0.8496,"The hanging toes-to-bar is an advanced abdominal exercise in which the lifter touches their feet to a pull-up bar. There are many ways to perform this movement: strict or swinging, arms completely straight or slightly bent, legs straight or bent, each providing unique benefits and challenges. Initially, it may be a difficult move to do for a single rep, but once you build the requisite core, lat, and shoulder strength, it can be performed for higher reps.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/01/Toes-to-Bar.gif,15bfa9b1-851c-4f31-a378-fa7e90a2507b,e0bee1ff-15f3-462a-b1ef-4ffc5fe6389d
FYR Mountain Climber,TRX Mountain Climber,0.8583,"The mountain climber is a popular bodyweight exercise targeting the muscles of the core, as well as the shoulders, hips, and cardiovascular system. It involves lifting one knee to the chest at a time from a straight-arm plank position. It can be performed for time or reps as part of a dynamic warm-up, for bodyweight cardio or conditioning, or as no-equipment dynamic core training.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/08/TRX-Mountain-Climber.gif,e5d91c16-04c8-4eeb-977d-c1ae4de23b40,ea1c7839-b349-4fed-93d9-2dc2c850c7ba
Cross-body mountain climber,Cross Body Mountain Climber,1.0,"The cross-body mountain climber is a popular bodyweight exercise targeting the muscles of the core, as well as the shoulders, hips, and cardiovascular system. It is different from a traditional mountain climber because you bring the knee to the opposite side of the body rather than simply to the chest. It can be performed for time or reps as part of a dynamic warm-up, for bodyweight cardio or conditioning, or as no-equipment dynamic core training.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cross-Body-Mountain-Climber.gif,9bb00e86-7868-440b-a6d3-caf848e8beca,d3d5f693-9106-4eb9-8530-3b725bccfe6d
HM Toe Touch,Push-up Toe Touch,0.8473,No description available,Strength,Abdominals,cardio,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/02/Push-up-Toe-Touch.gif,c40aaffb-d8cd-4ef8-b497-f11c9314ca06,ec2d9f32-888d-48ce-96fa-758cc15d072a
HM Boat Pose,Boat Pose,0.9587,No description available,Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/01/Boat-Pose-Stretch.gif,22e9c024-dd35-41d3-86ce-e20c51e1ef76,61a0cd4c-d29e-48d9-9a9a-758e51277d48
HM Seated Twist,Seated Cable Twist,0.8342,No description available,Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/02/Seated-Cable-Twist.gif,992f7819-b5ff-4eaa-bb9e-1403dde4dd5d,4119a396-719e-45a3-8af7-a94bf51df47a
HM Dead Bug,Dead Bug,0.9486,No description available,Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dead-Bug.gif,c4a373d7-950a-4e87-8177-042865a36af0,c59911a1-dd72-4393-a590-0cd7fd607121
HM Floor Wiper,Dumbbell Floor Wipers,0.8791,No description available,Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2023/06/Dumbbell-Floor-Wipers.gif,cf13bc35-4825-4080-b589-949775235098,3b49e80a-f9e2-47a2-91b0-c0fc6b0b99d1
HM Hollow Hold,Hollow Hold,0.9653,No description available,Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/HollowHold-360x360.png,e183af35-f408-41ec-9c02-d426f8d0aa92,3e75394b-2149-4c32-b763-d517d59b9ae8
HM Mountain Climber,Mountain Climber,0.98,No description available,Strength,Abdominals,cardio,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Mountain-climber.gif,1fdf3661-474b-4061-b238-8d040152cee8,357a8aea-a151-4f2d-9614-1e51eb83393b
HM Plank,Plank,0.8918,No description available,Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/plank.gif,25d7c3f6-7c25-4611-aff1-4205018e24bb,66ce3f14-81f8-41ce-90e5-5ccc33d2e07f
Side plank,Side Plank,1.0,"The side plank is a popular isometric abdominal exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It is sometimes paired with the curl up and bird dog as the “McGill big three” for core strength and stability. It is performed for time and can work in a warm-up or in the core-focused portion of any workout.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Side-Plank-1-360x360.png,4560e3c3-539a-45d7-a7cd-844483023a54,10e1f9a9-80f3-4936-ba09-963a1b555514
Bird dog-,Bird Dog,1.0,"The bird dog is a core exercise designed to help strengthen and stabilize the posterior chain. It involves lifting an opposite-side arm and leg while in a bent-leg tabletop position. It is most commonly performed as part of a dynamic warm-up, or for mobility and muscle activation anytime.",Strength,Abdominals,erector-spinae,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/07/Bird-Dog.gif,f3047f37-6d31-49f0-ab4d-29b65a6363ae,2a2415b6-2db1-4b63-90ed-08a454c7ae0a
UNS Inverted row,Inverted Row,0.8959,No description available,Strength,Abdominals,chest,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/06/Inverted-Row.gif,db4195a4-3143-4ebc-9a97-6f95f8a86a2e,3f98a362-e907-45a6-b690-56674dc13c39
30 Flutter Kick,Seated Flutter Kick,0.8726,"The flutter kick is a core exercise where the legs are held off the ground as you flutter your feet over and under each other in small motions. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/02/Seated-Flutter-Kick.gif,9f7da4e6-2eab-4ede-bdff-b8b4f76f2797,4db0c958-0c3f-42f4-b047-c0673f097ded
Toe-touch,Push-up Toe Touch,0.8876,"The toe-touch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,full-body,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/02/Push-up-Toe-Touch.gif,28bf8ccc-5bb7-4aef-a56f-a03617895bbe,9c9b318f-e6cd-49d1-bf2b-a09cb9ac6522
Cat-cow,Cat Cow Pose,0.823,Cat-cow is a traditional yoga pose that is also popular in fitness and strength training. It targets spinal mobility and control of the vertebral column. It can be performed for time or reps as part of a dynamic warm-up or as a mobility or restorative exercise anytime. It can also work as part of a yoga or bodyweight sequence with other poses.,Strength,Abdominals,erector-spinae,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/cat-cow.gif,3b61661d-aa5d-4035-bba1-d090c4563d65,44845702-eb72-4d19-99d7-6b06c6187b00
MetaBurn Side Plank Oblique Crunch,Side Plank Oblique Crunch,0.8507,No description available,Strength,Abdominals,abs,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/11/Side-Plank-Oblique-Crunch.gif,6450f473-94fd-4b5e-85ee-a7b74bb69a77,f1d03da8-5818-4277-9933-02da7612bc7b
Medicine ball rotational throw,Medicine Ball Rotational Throw,1.0,"The medicine ball rotational throw is an explosive exercise targeting the abdominals, including the obliques, as well as the hips and upper back. It involves standing sideways to the wall and twisting the torso to hurl a medicine ball into the wall, then catching the ball on the ricochet. It can be performed for lower reps with a focus on power, or for higher reps with a focus on fat loss and conditioning.",Strength,Abdominals,abs,Medicine Ball,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2023/12/Medicine-Ball-Rotational-Throw.gif,6ca2d433-98de-411e-a593-36f25ab85736,8a8c053e-cb2e-4773-b4a9-fc0b3e289c80
30 Medicine Ball Slam,One Arm Medicine Ball Slam,0.8997,"The medicine ball slam is an explosive exercise for developing power, strength, and speed. Muscles worked include the abdominals, legs, triceps, shoulders, and lats. The slams are usually done in rapid succession to complete one set. It can also be a component of a power or athleticism-focused circuit workout.",Strength,Abdominals,shoulders,Medicine Ball,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2024/06/One-Arm-Medicine-Ball-Slam.gif,ff2c20df-176e-4f4f-ae00-24fa161911b8,ccbca40f-8cd5-4768-bc82-0600018e97c0
Decline sit-up,Decline Sit-up,1.0,"The decline sit-up is a bodyweight core exercise that works the rectus abdominis or ""six pack"" muscles. Sit-up variations are usually performed for moderate to high reps, such as 10-15 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,abs,Bodyweight,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/05/Decline-Sit-up.gif,3a9c9b7e-4de0-4d60-84c7-20933e044771,bc343a3d-ee84-45bb-a574-959ce3b359ee
Hanging Windshield Wiper,Hanging Windshield Wiper,1.0,"The hanging windshield wiper is an advanced abdominal training exercise that is also extremely challenging to other muscles of the upper body, including the lats (latissimus dorsi), biceps, and grip. It requires—and builds—great strength in the rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles. If you can't perform it hanging from a bar, the lying windshield wiper on the floor provides some of the same benefits.",Strength,Abdominals,abs,Bodyweight,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/01/Hanging-Windshield-Wiper.gif,4acf58b3-3e32-4e1c-a6e8-3180b31d20a4,5a04e2fb-0c9b-478d-9764-1de4c9b37661
Windmills,Dumbbell Windmill,0.8975,No description available,Stretching,Abductors,shoulders,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/07/Dumbbell-Windmill.gif,4c506993-c830-4b84-9c98-836a00fef125,7e0c9e7f-05fa-40cc-a3e6-caf8ce48a129
Standing hip circle,Standing Leg Circles,0.8854,"The standing hip circle is a bodyweight exercise targeting the hips and abductor muscles. It is a classic way to ""limber up"" after sitting for a long period or before a lower-body workout or sports. It requires no equipment and can be helpful for everyone from beginners to advanced fitness enthusiasts.",Stretching,Abductors,leg,Body Only,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2023/10/Standing-Leg-Circles.gif,192c28fb-0d53-45a9-8976-cc8c2a062341,22b24553-e8e8-469d-89b6-f85cc434f664
